,node_1,node_2,cn,tn,pa,min_triangles,max_triangles,min_cluster,max_cluster,lp_community,louvain_community,weight,label,cr_n1,cr_n2,share_alignment_L,share_alignment_G,share_alignment_N,share_alignment_E,share_alignment_C,share_environment_mountain,share_environment_underdark,share_environment_arctic,share_environment_urban,share_environment_swamp,share_environment_desert,share_environment_coastal,share_environment_hill,share_environment_grassland,share_environment_forest,share_environment_underwater,share_type_aberration,share_type_monstrosity,share_type_dragon,share_type_undead,share_type_elemental,share_type_beast,share_type_construct,share_type_plant,share_type_ooze,share_type_fey,share_type_fiend,share_type_giant,share_type_celestial,share_tag_aarakocra,share_tag_yugoloth,share_tag_demon,share_tag_devil,share_tag_goblinoid,share_tag_bullywug,share_tag_shapechanger,share_tag_gnome,share_tag_elf,share_tag_dwarf,share_tag_titan,share_tag_gith,share_tag_gnoll,share_tag_grimlock,share_tag_human,share_tag_kenku,share_tag_kobold,share_tag_kuo-toa,share_tag_lizardfolk,share_tag_merfolk,share_tag_orc,share_tag_quaggoth,share_tag_sahuagin,share_tag_thri-kreen,share_tag_troglodyte,share_tag_yuan-ti,guessed,predicted_weight
15192,roc,giant shark,3,103,1392,22,742,0.18333333333333332,0.198342689120556,1,0,0.0,0.0,11.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7083913
15208,stone giant,spirit naga,3,50,589,26,81,0.15204678362573099,0.17419354838709677,1,1,0.0,0.0,7.0,8.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9798484
15224,sahuagin coral smasher,archer,4,109,900,25,407,0.08222222222222222,0.6944444444444444,1,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8652744
15236,wyvern,sanbalet,2,71,204,3,392,0.17208077260755048,1.0,1,1,0.0,0.0,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8588195
15242,brown bear,lorehold pledgemage,2,100,651,13,481,0.11243571762505844,0.6190476190476191,0,0,0.0,0.0,1.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.57472503
15256,scout,gnoll flesh gnawer,7,111,2970,195,278,0.1296037296037296,0.19696969696969696,1,0,0.0,0.0,0.5,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0482236
15280,dire wolf,sul khatesh,2,202,1737,4,1470,0.07933937823834197,0.1111111111111111,1,0,0.0,0.0,1.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.68474656
15315,quasit,eyedrake,3,135,2204,25,1570,0.14619883040935672,0.2353823088455772,1,0,0.0,0.0,1.0,8.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.83414173
15337,couatl,adult black dragon,3,120,2000,40,977,0.19737373737373737,0.21052631578947367,1,0,0.0,0.0,4.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.59381133
15355,goblin,terracotta warrior,2,96,455,4,420,0.10256410256410256,0.4,1,0,0.0,0.0,0.25,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.74804014
15384,war priest,duergar despot,3,73,1060,40,275,0.1995645863570392,0.21052631578947367,1,0,0.0,0.0,9.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6156256
15459,wolf,deep crow,2,126,605,4,659,0.09077134986225896,0.4,1,1,0.0,0.0,0.25,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8665901
15461,night hag,ankylosaurus zombie,13,104,2703,373,548,0.2706821480406386,0.42980392156862746,1,1,0.0,0.0,5.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.972195
15466,gnoll vampire,nightmare,11,109,2760,220,655,0.2791986359761296,0.28205128205128205,1,1,0.0,0.0,8.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1160032
15498,giant ape,duergar soulblade,2,141,1188,11,1129,0.13058061531343973,0.3055555555555556,1,0,0.0,0.0,7.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.58568573
15500,cult fanatic,velociraptor,2,105,2516,102,307,0.13476733977172958,0.15315315315315314,1,0,0.0,0.0,2.0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.61629826
15525,pseudodragon,abominable yeti,4,108,2747,242,249,0.10945273631840796,0.30365853658536585,1,0,0.0,0.0,0.25,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.670209
15560,poisonous snake,wolf,4,134,1573,16,659,0.09077134986225896,0.20512820512820512,1,1,0.0,0.0,0.125,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1668577
15571,succubus,sprite,2,49,418,6,123,0.10909090909090909,0.17496443812233287,1,1,0.0,0.0,4.0,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8159009
15580,diderius,beholder,2,38,192,8,65,0.1310483870967742,0.5333333333333333,1,0,0.0,0.0,15.0,13.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7793828
15601,giant spider,hobgoblin iron shadow,6,70,825,41,201,0.13535353535353536,0.3904761904761905,1,1,0.0,0.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1900785
15606,doppelganger,cave bear,1,35,150,3,69,0.15862068965517243,0.3,1,1,0.0,0.0,3.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6435087
15616,neogi master,morkoth,1,44,403,15,92,0.19230769230769232,0.1978494623655914,1,0,0.0,0.0,4.0,11.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.36028868
15661,elk,giant rat,3,46,520,49,59,0.18153846153846154,0.2578947368421053,1,0,0.0,0.0,0.25,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9014162
15692,giant spider,displacer beast,3,69,770,19,201,0.13535353535353536,0.2087912087912088,1,1,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0045649
15717,zombie,tribal warrior,4,209,5370,90,1794,0.11261063335634926,0.20689655172413793,1,0,0.0,0.0,0.25,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5359856
15724,shadow,ettin,4,114,2960,121,428,0.15512820512820513,0.15845982969270642,1,0,0.0,0.0,0.5,4.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7304896
15736,neogi master,vrock,4,98,2077,92,558,0.1978494623655914,0.25237449118046135,1,0,0.0,0.0,4.0,6.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8148777
15740,spectator,young crystal dragon,3,32,240,11,29,0.15263157894736842,0.16666666666666666,1,1,0.0,0.0,3.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0487938
15760,swarm of rot grubs,orthon,28,165,6696,1135,1479,0.34572230014025246,0.4440532081377152,1,1,0.0,0.0,0.5,10.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6733001
15765,giant ape,elder tempest,4,150,2376,51,1129,0.13058061531343973,0.3333333333333333,1,0,0.0,0.0,7.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.89791906
15786,assassin,frost salamander,1,83,1702,87,145,0.13063063063063063,0.14009661835748793,1,0,0.0,0.0,8.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.54509246
15797,nereid,storm giant,3,72,1007,21,588,0.12280701754385964,0.42670537010159654,1,0,0.0,0.0,2.0,13.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7514506
15824,xorn,chimera,2,80,1536,76,181,0.1532258064516129,0.16046099290780141,1,0,0.0,0.0,5.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5427465
15899,mummy lord,froghemoth,1,54,608,21,109,0.155049786628734,0.175,1,0,0.0,0.0,15.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.51255876
15904,adult blue dracolich,vampire,1,40,391,24,48,0.17647058823529413,0.18972332015810275,1,0,0.0,0.0,17.0,13.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7516714
15912,adult black dragon,daemogoth,4,108,1760,40,1419,0.21052631578947367,0.3706896551724138,1,0,0.0,0.0,14.0,10.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7596771
15919,black abishai,frost giant,6,164,6400,445,1458,0.22073412698412698,0.29454545454545455,1,0,0.0,0.0,7.0,8.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6785236
15956,gargoyle,mastiff,4,64,1020,77,87,0.15508021390374332,0.17701149425287357,1,0,0.0,0.0,2.0,0.125,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8674117
15967,draconic shard,firemane angel,1,53,240,2,257,0.2,0.22783687943262412,1,1,0.0,0.0,17.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6416679
15985,draconian mastermind,troll,2,79,960,24,242,0.12003968253968254,0.22857142857142856,1,0,0.0,0.0,6.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.69487435
16011,manticore,alhoon,2,51,518,16,129,0.17582417582417584,0.19369369369369369,1,0,0.0,0.0,3.0,10.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.743102
16020,master thief,death knight,4,110,2349,94,472,0.145679012345679,0.2315270935960591,1,0,0.0,0.0,5.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.72423476
16028,returned palamnite,thunderbeast skeleton,8,74,1344,186,428,0.375,0.49709639953542395,1,1,0.0,0.0,4.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9743716
16042,oni,transmuter,3,40,256,10,82,0.16532258064516128,0.35714285714285715,1,1,0.0,0.0,7.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1052517
16052,necromancer,oriq blood mage,1,38,105,1,140,0.23529411764705882,0.3333333333333333,1,1,0.0,0.0,9.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6553668
16080,shambling mound,young green dragon,5,102,2537,274,363,0.16014026884862653,0.4019933554817276,1,0,0.0,0.0,5.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6789161
16083,riding horse,planetar,2,53,570,19,80,0.11379800853485064,0.18095238095238095,1,0,0.0,0.0,0.25,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.79040724
16126,berserker,winged kobold,3,89,1110,22,395,0.1462421325435024,0.20952380952380953,1,0,0.0,0.0,2.0,0.25,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.816106
16129,giant hyena,abyssal chicken,4,106,2665,140,633,0.17073170731707318,0.30432692307692305,1,0,0.0,0.0,1.0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6540149
16153,brown bear,dust mephit,3,104,1023,12,481,0.11243571762505844,0.21818181818181817,1,0,0.0,0.0,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.88048387
16158,unicorn,vrock,6,93,1742,71,558,0.21846153846153846,0.25237449118046135,1,0,0.0,0.0,5.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9738028
16179,tiger,troglodyte,4,55,666,62,150,0.22522522522522523,0.40522875816993464,1,1,0.0,0.0,1.0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.89111316
16191,eldritch lich,draegloth,16,106,2553,247,988,0.3708708708708709,0.42114236999147486,1,1,0.0,0.0,15.0,7.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.96353996
16230,dretch,swarm of undead snakes,33,151,5698,1018,1225,0.37689744539059605,0.41866028708133973,1,1,0.0,0.0,0.25,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5069406
16231,magmin,guard,3,96,1215,28,368,0.11358024691358025,0.26666666666666666,1,0,0.0,0.0,0.5,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.89157224
16240,tree blight,tlincalli,3,64,700,17,440,0.18681318681318682,0.35918367346938773,1,1,0.0,0.0,7.0,5.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8217611
16244,orc eye of gruumsh,hungry sorrowsworn,2,51,560,29,154,0.24166666666666667,0.25882352941176473,1,0,0.0,0.0,2.0,11.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.39104855
16258,mezzoloth,hezrou,19,111,3024,382,942,0.33865248226950356,0.4823348694316436,1,1,0.0,0.0,5.0,8.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0441405
16311,magma mephit,tanarukk,2,96,1628,24,790,0.1038961038961039,0.2924842650870048,1,0,0.0,0.0,0.5,5.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7156392
16375,couatl,fire giant dreadnought,3,134,3400,74,977,0.1319073083778966,0.19737373737373737,1,0,0.0,0.0,4.0,14.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7130036
