,combat_id,monster_name,count,killed,combat_size,fraction,cr,xp,combat_total_xp,combat_min_xp,combat_max_xp,combat_avg_xp,is_lowest_xp,avg_frac,avg_count
27,1659551172-34276b30-40c6-4188-ae58-8181d744cc8c,draconic shard,1,1,9,0.1111111111111111,17.0,18000,27500,2300,18000,9166.666666666666,0,0.3045554708026104,1.2666666666666666
35,1655729451-cd60157c-95e6-4d73-af1a-a6ea4425febf,huge giant crab,5,6,5,1.0,8.0,3900,3900,3900,3900,3900.0,1,0.5634539842873176,2.25
37,1662981571-b5428338-e5fb-40fe-bc9e-2ed69f8f76e2,mage,1,1,1,1.0,6.0,2300,2300,2300,2300,2300.0,1,0.9499754123417226,1.0802620802620804
42,1656802536-46c05992-c2ff-4aaf-a9f4-6b7593172d4c,dire wolf,1,0,1,1.0,1.0,200,200,200,200,200.0,1,0.4398012336088804,2.0720720720720722
44,1657350569-2a6e4f15-04a4-49d4-b835-0ac014e97e83,blood hawk,9,9,9,1.0,0.125,25,25,25,25,25.0,1,0.38819811141239713,3.5
53,1668051244-47e84884-7b62-4849-a58c-b83695160ab8,mimic,1,1,2,0.5,2.0,450,1150,450,700,575.0,1,0.4519904725100908,1.8636363636363635
54,1668051244-47e84884-7b62-4849-a58c-b83695160ab8,giant scorpion,1,1,2,0.5,3.0,700,1150,450,700,575.0,0,0.6844045711233211,2.6875
56,1654683191-54d4295a-8ce1-487e-b6c7-f9ff5844a0db,bandit,5,1,6,0.8333333333333334,0.125,25,50,25,25,25.0,1,0.676655180005082,4.71078431372549
57,1654683191-54d4295a-8ce1-487e-b6c7-f9ff5844a0db,noble,1,0,6,0.16666666666666666,0.125,25,50,25,25,25.0,1,0.3076388888888889,1.5
62,1666456695-42a53f04-0d35-4c4a-8f15-c69393703501,ochre jelly,1,1,5,0.2,2.0,450,56750,100,50000,11350.0,0,0.39154978354978354,1.88
64,1666456695-42a53f04-0d35-4c4a-8f15-c69393703501,spirit naga,1,1,5,0.2,8.0,3900,56750,100,50000,11350.0,0,0.7507232624831309,1.1875
65,1666456695-42a53f04-0d35-4c4a-8f15-c69393703501,drider,1,1,5,0.2,6.0,2300,56750,100,50000,11350.0,0,0.36018981018981017,3.727272727272727
66,1666456695-42a53f04-0d35-4c4a-8f15-c69393703501,"ygorl, lord of entropy",1,1,5,0.2,23.0,50000,56750,100,50000,11350.0,0,0.2,1.0
67,1666456695-42a53f04-0d35-4c4a-8f15-c69393703501,gnome squidling,1,1,5,0.2,0.5,100,56750,100,50000,11350.0,1,0.2537414965986394,1.5714285714285714
69,1659030415-546d9c15-987d-4d64-9c89-e5858be6089e,bandit,10,4,10,1.0,0.125,25,25,25,25,25.0,1,0.676655180005082,4.71078431372549
74,1660874073-00f52b3b-ac8d-4584-9f6a-927b46b2155c,elephant,1,1,2,0.5,4.0,1100,12600,1100,11500,6300.0,1,0.6719353382378592,1.542857142857143
76,1660874073-00f52b3b-ac8d-4584-9f6a-927b46b2155c,elder brain,1,1,2,0.5,14.0,11500,12600,1100,11500,6300.0,0,0.45663265306122447,1.2857142857142858
78,1654671118-299c54fd-6f10-46ef-a8b5-8688b4d148b4,bandit captain,3,2,3,1.0,2.0,450,450,450,450,450.0,1,0.3070159713902211,1.6020408163265305
83,1663456858-671dba33-3a6b-4395-a0c3-ec377774d6b4,icewind kobold zombie,1,1,23,0.043478260869565216,0.125,25,200325,25,33000,8709.782608695652,1,0.08988957902001381,1.0
84,1663456858-671dba33-3a6b-4395-a0c3-ec377774d6b4,ash zombie,1,1,23,0.043478260869565216,0.25,50,200325,25,33000,8709.782608695652,0,0.2774294522376364,1.6666666666666667
85,1663456858-671dba33-3a6b-4395-a0c3-ec377774d6b4,shadow,1,1,23,0.043478260869565216,0.5,100,200325,25,33000,8709.782608695652,0,0.5424142085854596,3.4489795918367347
86,1663456858-671dba33-3a6b-4395-a0c3-ec377774d6b4,specter,1,2,23,0.043478260869565216,1.0,200,200325,25,33000,8709.782608695652,0,0.3835031147875337,2.1948051948051948
87,1663456858-671dba33-3a6b-4395-a0c3-ec377774d6b4,ogre zombie,1,1,23,0.043478260869565216,2.0,450,200325,25,33000,8709.782608695652,0,0.340758180639473,2.3815789473684212
88,1663456858-671dba33-3a6b-4395-a0c3-ec377774d6b4,kobold vampire spawn,1,1,23,0.043478260869565216,3.0,700,200325,25,33000,8709.782608695652,0,0.22291076983795505,1.9411764705882353
89,1663456858-671dba33-3a6b-4395-a0c3-ec377774d6b4,mind drinker vampire,1,2,23,0.043478260869565216,4.0,1100,200325,25,33000,8709.782608695652,0,0.288877534709536,2.125
90,1663456858-671dba33-3a6b-4395-a0c3-ec377774d6b4,vampiric mind flayer,1,1,23,0.043478260869565216,5.0,1800,200325,25,33000,8709.782608695652,0,0.14003623188405795,1.0
91,1663456858-671dba33-3a6b-4395-a0c3-ec377774d6b4,zombie clot,1,1,23,0.043478260869565216,6.0,2300,200325,25,33000,8709.782608695652,0,0.3312392190077612,1.55
92,1663456858-671dba33-3a6b-4395-a0c3-ec377774d6b4,necrichor,1,1,23,0.043478260869565216,7.0,2900,200325,25,33000,8709.782608695652,0,0.06340579710144928,1.0
93,1663456858-671dba33-3a6b-4395-a0c3-ec377774d6b4,nosferatu,1,3,23,0.043478260869565216,8.0,3900,200325,25,33000,8709.782608695652,0,0.33856682769726243,3.3333333333333335
94,1663456858-671dba33-3a6b-4395-a0c3-ec377774d6b4,shadow assassin,1,2,23,0.043478260869565216,9.0,5000,200325,25,33000,8709.782608695652,0,0.4647078270628995,2.0
95,1663456858-671dba33-3a6b-4395-a0c3-ec377774d6b4,dullahan,1,2,23,0.043478260869565216,10.0,5900,200325,25,33000,8709.782608695652,0,0.42088030059044557,1.5555555555555556
98,1663456858-671dba33-3a6b-4395-a0c3-ec377774d6b4,boneclaw,1,1,23,0.043478260869565216,12.0,8400,200325,25,33000,8709.782608695652,0,0.3825152429585507,1.7777777777777777
99,1663456858-671dba33-3a6b-4395-a0c3-ec377774d6b4,atropal,1,1,23,0.043478260869565216,13.0,10000,200325,25,33000,8709.782608695652,0,0.23500729343120647,1.375
100,1663456858-671dba33-3a6b-4395-a0c3-ec377774d6b4,death tyrant,1,1,23,0.043478260869565216,14.0,11500,200325,25,33000,8709.782608695652,0,0.2165729701900692,1.3333333333333333
101,1663456858-671dba33-3a6b-4395-a0c3-ec377774d6b4,skull lord,1,1,23,0.043478260869565216,15.0,13000,200325,25,33000,8709.782608695652,0,0.24863359345968042,2.066666666666667
102,1663456858-671dba33-3a6b-4395-a0c3-ec377774d6b4,storm giant skeleton,1,1,23,0.043478260869565216,16.0,15000,200325,25,33000,8709.782608695652,0,0.16319421922682792,1.0833333333333333
103,1663456858-671dba33-3a6b-4395-a0c3-ec377774d6b4,draconic shard,1,1,23,0.043478260869565216,17.0,18000,200325,25,33000,8709.782608695652,0,0.3045554708026104,1.2666666666666666
104,1663456858-671dba33-3a6b-4395-a0c3-ec377774d6b4,lichen lich,1,1,23,0.043478260869565216,18.0,20000,200325,25,33000,8709.782608695652,0,0.2920289855072464,1.0
105,1663456858-671dba33-3a6b-4395-a0c3-ec377774d6b4,kalaraq quori,1,1,23,0.043478260869565216,19.0,22000,200325,25,33000,8709.782608695652,0,0.2753623188405797,1.8
106,1663456858-671dba33-3a6b-4395-a0c3-ec377774d6b4,nightwalker,1,1,23,0.043478260869565216,20.0,25000,200325,25,33000,8709.782608695652,0,0.5828243616287094,2.142857142857143
107,1663456858-671dba33-3a6b-4395-a0c3-ec377774d6b4,lich,1,0,23,0.043478260869565216,21.0,33000,200325,25,33000,8709.782608695652,0,0.4349833012492859,1.6333333333333333
111,1662920828-32bc5842-ee77-47c5-a3e4-09e6539fc91e,wolf,1,1,1,1.0,0.25,50,50,50,50,50.0,1,0.6815263763132141,3.2217898832684826
113,1656260096-37667924-6d1b-4659-9242-ac8a456d195b,mage,1,1,1,1.0,6.0,2300,2300,2300,2300,2300.0,1,0.9499754123417226,1.0802620802620804
121,1667098416-6de404bf-87e3-4556-9fbd-3aa35a7fe60a,nightmare beast,1,1,1,1.0,16.0,15000,15000,15000,15000,15000.0,1,0.66213429816371,2.111111111111111
123,1669081805-4c6d2d66-2b90-4605-a836-b4a6686f7437,ankheg,5,5,6,0.8333333333333334,2.0,450,650,200,450,325.0,0,0.7042207792207792,3.1363636363636362
125,1669081805-4c6d2d66-2b90-4605-a836-b4a6686f7437,brown bear,1,0,6,0.16666666666666666,1.0,200,650,200,450,325.0,1,0.4967182560030125,1.3689320388349515
126,1656741551-f88f1a38-630b-4fb4-83bd-f51d2a5617e2,abjurer,1,1,1,1.0,9.0,5000,5000,5000,5000,5000.0,1,0.9483695652173914,1.065217391304348
131,1655175393-6217601c-cad9-4f1a-bb4b-b303406f9b91,giant constrictor snake,1,1,1,1.0,2.0,450,450,450,450,450.0,1,0.4814050421782229,1.3333333333333333
133,1664366623-c68d9fb7-ac09-44bd-b003-6a6befebf788,mind drinker vampire,2,2,2,1.0,4.0,1100,1100,1100,1100,1100.0,1,0.288877534709536,2.125
134,1660960532-a226a3ab-f1f6-4967-b907-1344a24be3f6,zombie,5,7,10,0.5,0.25,50,350,50,200,116.66666666666667,1,0.5526610828455387,4.118279569892473
135,1660960532-a226a3ab-f1f6-4967-b907-1344a24be3f6,ghoul,4,4,10,0.4,1.0,200,350,50,200,116.66666666666667,0,0.3703377587291054,2.7357512953367875
136,1660960532-a226a3ab-f1f6-4967-b907-1344a24be3f6,giant goat,1,0,10,0.1,0.5,100,350,50,200,116.66666666666667,0,0.5215521456795716,2.1176470588235294
159,1658437105-bd36998c-7533-4457-87fb-22725e75bfa7,tree blight,1,1,1,1.0,7.0,2900,2900,2900,2900,2900.0,1,0.6957055403279659,1.3478260869565217
160,1656884454-8be88bd1-e6e7-4c32-b7e3-0d58fbbb143e,dire wolf,1,1,2,0.5,1.0,200,650,200,450,325.0,1,0.4398012336088804,2.0720720720720722
161,1656884454-8be88bd1-e6e7-4c32-b7e3-0d58fbbb143e,awakened tree,1,1,2,0.5,2.0,450,650,200,450,325.0,0,0.5274229668966511,1.9090909090909092
162,1657388337-010b1e8e-b64e-494f-95dc-919359f5353d,oni,1,0,1,1.0,7.0,2900,2900,2900,2900,2900.0,1,0.6393611018611018,1.8611111111111112
163,1661958068-833e484a-8f01-42d9-8c11-10e6ad494ce3,orc,2,2,2,1.0,0.5,100,100,100,100,100.0,1,0.6477944779735061,4.594594594594595
166,1656808225-a59aeebc-4720-43e7-ab29-9443999734c2,animated breath,1,0,1,1.0,6.0,2300,2300,2300,2300,2300.0,1,0.8133333333333332,1.2
170,1668284139-48d3b45c-f445-4e1b-9851-7a197c2126c0,mage,1,1,1,1.0,6.0,2300,2300,2300,2300,2300.0,1,0.9499754123417226,1.0802620802620804
171,1659583840-0c3f97a0-9cdf-467b-87c7-ddee93d6dd98,skeleton,5,5,6,0.8333333333333334,0.25,50,500,50,450,250.0,1,0.5628189343592419,4.6118721461187215
172,1659583840-0c3f97a0-9cdf-467b-87c7-ddee93d6dd98,minotaur skeleton,1,1,6,0.16666666666666666,2.0,450,500,50,450,250.0,0,0.29791322342563026,2.0
173,1657574514-2c324348-8642-4f3c-9aa6-fda805003343,skum,1,1,1,1.0,5.0,1800,1800,1800,1800,1800.0,1,0.7063492063492064,4.333333333333333
174,1655638938-72937f3a-15be-4833-b072-82badff159f8,harpy,3,4,6,0.5,1.0,200,3200,200,2300,1066.6666666666667,1,0.6488071745792334,4.9
175,1655638938-72937f3a-15be-4833-b072-82badff159f8,manticore,1,1,6,0.16666666666666666,3.0,700,3200,200,2300,1066.6666666666667,0,0.5454803731700016,2.1315789473684212
176,1655638938-72937f3a-15be-4833-b072-82badff159f8,cyclops,2,2,6,0.3333333333333333,6.0,2300,3200,200,2300,1066.6666666666667,0,0.5358062758406938,2.74468085106383
177,1657526187-ecf17535-9719-41a1-9d17-59a0fc09ea17,mammoth,3,3,3,1.0,6.0,2300,2300,2300,2300,2300.0,1,0.5615164841100669,2.0303030303030303
178,1668459523-7c254cef-84dd-4352-aa7f-1a332ef52967,giant hyena,1,1,1,1.0,1.0,200,200,200,200,200.0,1,0.5540818375906095,2.533333333333333
179,1668549659-1887fb21-2a4b-4832-986d-29adf08ca793,swarm of insects,3,3,11,0.2727272727272727,0.5,100,250,50,100,83.33333333333333,0,0.6408432147562582,3.869565217391304
180,1668549659-1887fb21-2a4b-4832-986d-29adf08ca793,skeleton,5,5,11,0.45454545454545453,0.25,50,250,50,100,83.33333333333333,1,0.5628189343592419,4.6118721461187215
181,1668549659-1887fb21-2a4b-4832-986d-29adf08ca793,dust mephit,3,6,11,0.2727272727272727,0.5,100,250,50,100,83.33333333333333,0,0.49511183261183256,4.0
185,1665979591-0ec5127b-479d-4610-aadd-e4f2560cb774,mage,1,1,1,1.0,6.0,2300,2300,2300,2300,2300.0,1,0.9499754123417226,1.0802620802620804
186,1655437972-e057c71b-4747-41fa-abee-fccce28764b0,giant ape,1,0,1,1.0,7.0,2900,2900,2900,2900,2900.0,1,0.4786851349544848,1.7205882352941178
187,1666057848-07e0b16e-afb8-4684-9c80-1122e12dcebb,giant scorpion,5,5,6,0.8333333333333334,3.0,700,900,200,700,450.0,0,0.6844045711233211,2.6875
189,1666057848-07e0b16e-afb8-4684-9c80-1122e12dcebb,brown bear,1,0,6,0.16666666666666666,1.0,200,900,200,700,450.0,1,0.4967182560030125,1.3689320388349515
194,1659451934-7a6e0791-6906-4302-b827-194d741ec2b6,bandit,3,3,3,1.0,0.125,25,25,25,25,25.0,1,0.676655180005082,4.71078431372549
196,1659407657-fc995131-f6c9-4615-80ac-239dba5f8836,wraith,2,2,3,0.6666666666666666,5.0,1800,2000,200,1800,1000.0,0,0.34556969109322044,1.78
198,1659407657-fc995131-f6c9-4615-80ac-239dba5f8836,specter,1,1,3,0.3333333333333333,1.0,200,2000,200,1800,1000.0,1,0.3835031147875337,2.1948051948051948
200,1663151764-c032dcff-6b1e-407d-8858-c5e2c08c1ca4,wolf,1,1,1,1.0,0.25,50,50,50,50,50.0,1,0.6815263763132141,3.2217898832684826
204,1656630878-7d9f7eee-0ea4-44d1-872c-271c39cf3fdd,magmin,1,1,1,1.0,0.5,100,100,100,100,100.0,1,0.7420634920634921,2.8333333333333335
205,1668659260-bed02412-ce72-4c6d-88c9-592a2ba33851,crocodile,3,3,3,1.0,0.5,100,100,100,100,100.0,1,0.6418637147166559,4.28
207,1657506227-33c9a2e4-472c-4868-b097-ff0d908f07d3,mage,1,1,1,1.0,6.0,2300,2300,2300,2300,2300.0,1,0.9499754123417226,1.0802620802620804
208,1656672103-04973b6d-1c70-4724-a1e0-3627be82d256,mage,1,1,1,1.0,6.0,2300,2300,2300,2300,2300.0,1,0.9499754123417226,1.0802620802620804
210,1661347649-42e37b80-e2ca-4b54-bf28-f717af3ff901,ancient solar dragon,1,1,1,1.0,21.0,33000,33000,33000,33000,33000.0,1,1.0,2.0
212,1662803066-e380a77a-ca4a-4a8d-ab98-818b3cf2a02f,drow mage,1,1,1,1.0,7.0,2900,2900,2900,2900,2900.0,1,0.9360144143701191,1.657718120805369
215,1663886431-25b61c33-794e-4fad-870a-60b2cacb5745,vampire spawn,5,5,11,0.45454545454545453,5.0,1800,11800,1800,10000,5900.0,1,0.3782391293419121,2.0
216,1663886431-25b61c33-794e-4fad-870a-60b2cacb5745,beholder,6,2,11,0.5454545454545454,13.0,10000,11800,1800,10000,5900.0,0,0.46207892107892107,1.92
221,1654123926-fd133a4c-1eb4-493b-ae16-40062a6feba8,death knight,1,1,1,1.0,17.0,18000,18000,18000,18000,18000.0,1,0.5849786093097289,2.1774193548387095
223,1664125977-2a673db9-642a-4892-ac4b-8f863b682475,cave bear,3,0,3,1.0,2.0,450,450,450,450,450.0,1,0.6725552225552226,1.5757575757575757
225,1663923063-afa351b8-b79d-496e-9a3f-1aa79307dc10,champion,2,2,2,1.0,9.0,5000,5000,5000,5000,5000.0,1,0.4396421865171865,1.6458333333333333
226,1662654027-467429fc-53fa-48ae-bb87-e6d1a0da350d,archmage,1,2,1,1.0,12.0,8400,8400,8400,8400,8400.0,1,0.3743856677861612,1.25
227,1660505539-1bab5b9f-e580-486b-b4c6-fea92e5c2c6f,mummy,2,3,6,0.3333333333333333,3.0,700,750,50,700,375.0,0,0.44589428674181,2.4411764705882355
228,1660505539-1bab5b9f-e580-486b-b4c6-fea92e5c2c6f,skeleton,4,4,6,0.6666666666666666,0.25,50,750,50,700,375.0,1,0.5628189343592419,4.6118721461187215
232,1664321810-8b764b62-e0e0-420c-a661-8fa783656b65,quasit,1,0,4,0.25,1.0,200,4900,200,2900,1633.3333333333333,1,0.3575173110985262,1.2040816326530612
233,1664321810-8b764b62-e0e0-420c-a661-8fa783656b65,water elemental,2,2,4,0.5,5.0,1800,4900,200,2900,1633.3333333333333,0,0.43530064462900286,1.6417910447761195
234,1664321810-8b764b62-e0e0-420c-a661-8fa783656b65,oni,1,1,4,0.25,7.0,2900,4900,200,2900,1633.3333333333333,0,0.6393611018611018,1.8611111111111112
237,1669012590-7f3300a1-1128-48e6-a1ae-539dbca4f736,mage,1,1,1,1.0,6.0,2300,2300,2300,2300,2300.0,1,0.9499754123417226,1.0802620802620804
238,1664168576-99633598-ecf9-4cba-b0d2-da459f0e2e6b,ghoul,3,1,3,1.0,1.0,200,200,200,200,200.0,1,0.3703377587291054,2.7357512953367875
239,1655659421-9cd12047-165d-48fd-baeb-ca7f75810fe6,mage,1,1,1,1.0,6.0,2300,2300,2300,2300,2300.0,1,0.9499754123417226,1.0802620802620804
244,1659304771-59ff7dd6-c21a-4d3b-9cce-4477419a201e,mage,1,1,1,1.0,6.0,2300,2300,2300,2300,2300.0,1,0.9499754123417226,1.0802620802620804
246,1666869954-f283d5af-e587-4a73-8116-795d7c29119c,animated glass statue,2,2,6,0.3333333333333333,1.0,200,275,25,200,91.66666666666667,0,0.29166666666666663,1.5
247,1666869954-f283d5af-e587-4a73-8116-795d7c29119c,animated halberd,2,2,6,0.3333333333333333,0.25,50,275,25,200,91.66666666666667,0,0.34920634920634913,2.3333333333333335
248,1666869954-f283d5af-e587-4a73-8116-795d7c29119c,animated knife,2,2,6,0.3333333333333333,0.125,25,275,25,200,91.66666666666667,1,0.3333333333333333,2.0
250,1655172092-55aeec30-967c-4af1-9346-721c1cfbe602,swarm of poisonous snakes,2,2,3,0.6666666666666666,2.0,450,1550,450,1100,775.0,1,0.530015873015873,1.48
251,1655172092-55aeec30-967c-4af1-9346-721c1cfbe602,giant coral snake,1,1,3,0.3333333333333333,4.0,1100,1550,450,1100,775.0,0,0.6666666666666666,1.0
253,1658923473-f1b1db83-63fe-4680-81d1-171912fd1d7e,djinni,1,1,2,0.5,11.0,7200,14400,7200,7200,7200.0,1,0.3740981240981241,1.1428571428571428
254,1658923473-f1b1db83-63fe-4680-81d1-171912fd1d7e,efreeti,1,1,2,0.5,11.0,7200,14400,7200,7200,7200.0,1,0.4149801587301587,1.4166666666666667
255,1668011112-14320968-d9d7-4459-a6c6-f40dd62e8658,manes,2,2,3,0.6666666666666666,0.125,25,75,25,50,37.5,1,0.29108361257659027,2.275
256,1668011112-14320968-d9d7-4459-a6c6-f40dd62e8658,returned drifter,1,1,3,0.3333333333333333,0.25,50,75,25,50,37.5,0,0.2588181426416721,1.8571428571428572
257,1667149296-4158d8be-5faf-446f-8125-56ff75979e90,giant eagle,2,2,14,0.14285714285714285,1.0,200,2550,50,2300,850.0,0,0.5265647820746505,3.9375
259,1667149296-4158d8be-5faf-446f-8125-56ff75979e90,wyvern,1,1,14,0.07142857142857142,6.0,2300,2550,50,2300,850.0,0,0.3767813774042633,2.7096774193548385
260,1667149296-4158d8be-5faf-446f-8125-56ff75979e90,winged kobold,11,11,14,0.7857142857142857,0.25,50,2550,50,2300,850.0,1,0.5940765212695037,5.555555555555555
261,1661964317-ed0a7a20-ecc1-4a18-965d-4273a714c231,mage,1,1,1,1.0,6.0,2300,2300,2300,2300,2300.0,1,0.9499754123417226,1.0802620802620804
265,1664918145-5c1095f6-9b4b-4392-b5f0-b98e3e5dbecf,chimera,1,1,8,0.125,6.0,2300,4800,200,2300,1600.0,0,0.5494128947713507,2.3541666666666665
266,1664918145-5c1095f6-9b4b-4392-b5f0-b98e3e5dbecf,galeb duhr,3,3,8,0.375,6.0,2300,4800,200,2300,1600.0,0,0.5904327668216557,2.814814814814815
267,1664918145-5c1095f6-9b4b-4392-b5f0-b98e3e5dbecf,lion,4,4,8,0.5,1.0,200,4800,200,2300,1600.0,1,0.5000550366774276,2.774193548387097
271,1667536704-683888cf-55f4-43b2-ad48-6683c57047de,gray ooze,3,3,3,1.0,0.5,100,100,100,100,100.0,1,0.6673323934837092,2.5
273,1668647663-4f04080e-f38a-4291-bc12-31fa8ea7da9f,wererat,2,2,2,1.0,2.0,450,450,450,450,450.0,1,0.8198113952020202,2.0625
277,1664924996-af73154a-a8c9-4d1c-b76a-49d3b0847531,minotaur skeleton,2,2,8,0.25,2.0,450,500,50,450,250.0,0,0.29791322342563026,2.0
278,1664924996-af73154a-a8c9-4d1c-b76a-49d3b0847531,skeleton,6,0,8,0.75,0.25,50,500,50,450,250.0,1,0.5628189343592419,4.6118721461187215
279,1656259746-e108fbf2-a28f-4154-8439-621b045b7f80,assassin,2,2,3,0.6666666666666666,8.0,3900,5700,1800,3900,2850.0,0,0.5727547886141636,2.328125
280,1656259746-e108fbf2-a28f-4154-8439-621b045b7f80,gnome ceremorph,1,1,3,0.3333333333333333,5.0,1800,5700,1800,3900,2850.0,1,0.24357031857031855,1.5
283,1657811422-03ab050d-7907-4696-a800-7d78d6323193,stone golem,2,1,2,1.0,10.0,5900,5900,5900,5900,5900.0,1,0.7013278388278389,1.3928571428571428
284,1656802798-e8c45d49-74e4-4d06-ae1e-459539c12b9d,gnoll,9,9,16,0.5625,0.5,100,22800,100,18000,5700.0,1,0.6118585060573118,4.285714285714286
286,1656802798-e8c45d49-74e4-4d06-ae1e-459539c12b9d,giant ape,2,1,16,0.125,7.0,2900,22800,100,18000,5700.0,0,0.4786851349544848,1.7205882352941178
287,1656802798-e8c45d49-74e4-4d06-ae1e-459539c12b9d,fire elemental,4,4,16,0.25,5.0,1800,22800,100,18000,5700.0,0,0.40600640253125064,1.8295454545454546
288,1656802798-e8c45d49-74e4-4d06-ae1e-459539c12b9d,adult blue dracolich,1,0,16,0.0625,17.0,18000,22800,100,18000,5700.0,0,0.31004183724771955,1.0
294,1658147678-e0d96b0e-3ab5-4f63-a7a2-c65b7fc87192,adult black dragon,2,2,5,0.4,14.0,11500,15300,200,11500,3825.0,0,0.565933140933141,1.2592592592592593
295,1658147678-e0d96b0e-3ab5-4f63-a7a2-c65b7fc87192,tanarukk,1,1,5,0.2,5.0,1800,15300,200,11500,3825.0,0,0.25842280325038947,1.4827586206896552
297,1658147678-e0d96b0e-3ab5-4f63-a7a2-c65b7fc87192,dire wolf,1,1,5,0.2,1.0,200,15300,200,11500,3825.0,1,0.4398012336088804,2.0720720720720722
298,1658147678-e0d96b0e-3ab5-4f63-a7a2-c65b7fc87192,giant crocodile,1,1,5,0.2,5.0,1800,15300,200,11500,3825.0,0,0.46519508170577684,1.9696969696969697
301,1664302309-39d287ca-7de6-479f-99de-6811a4509440,aboleth,1,1,9,0.1111111111111111,10.0,5900,6100,200,5900,3050.0,0,0.5023997557997558,1.28
303,1664302309-39d287ca-7de6-479f-99de-6811a4509440,ghoul,8,0,9,0.8888888888888888,1.0,200,6100,200,5900,3050.0,1,0.3703377587291054,2.7357512953367875
306,1660479863-800ccf42-2e1f-44e5-a8a8-b1c3f20393d5,zombie,3,0,3,1.0,0.25,50,50,50,50,50.0,1,0.5526610828455387,4.118279569892473
310,1667346320-5dba9254-5db3-4108-8645-96536abc02ae,goblin,5,1,5,1.0,0.25,50,50,50,50,50.0,1,0.6925020877876362,4.173469387755102
313,1655288321-a54682c6-33dd-4edd-9596-aac5b29daf4e,ghost,1,0,1,1.0,4.0,1100,1100,1100,1100,1100.0,1,0.5978871200025047,2.3846153846153846
315,1657160871-4c66e926-4e84-4ce0-94cf-f537fed7ef10,elder brain dragon,1,1,1,1.0,22.0,41000,41000,41000,41000,41000.0,1,0.4840277777777778,1.3333333333333333
326,1663633458-d3e844ce-f9e4-4843-b058-27a092eda4d4,purple worm,2,2,4,0.5,15.0,13000,26000,13000,13000,13000.0,1,0.636576078242745,2.5833333333333335
327,1663633458-d3e844ce-f9e4-4843-b058-27a092eda4d4,wurm,2,2,4,0.5,15.0,13000,26000,13000,13000,13000.0,1,0.8333333333333334,1.3333333333333333
333,1659836463-1c1bae16-96e8-4808-8e33-f0d63b877826,bandit,3,2,3,1.0,0.125,25,25,25,25,25.0,1,0.676655180005082,4.71078431372549
335,1669231861-500e81a3-341e-4ac4-84be-ff0fef4704cc,myconid adult,1,0,1,1.0,0.5,100,100,100,100,100.0,1,0.7669642857142858,1.875
336,1662036647-299805da-b7f3-4338-a390-d4c7331ec889,mage,1,1,1,1.0,6.0,2300,2300,2300,2300,2300.0,1,0.9499754123417226,1.0802620802620804
