monster_name,cr
ancient sapphire dragon,22.0
ancient sea serpent,14.0
ancient silver dragon,23.0
ancient solar dragon,21.0
ancient time dragon,26.0
ancient topaz dragon,20.0
ancient white dragon,20.0
andir valmakos,
andras,8.0
androsphinx,17.0
angel,10.0
angel of amonkhet,10.0
angel of empyreus,22.0
angry sorrowsworn,13.0
anhkolox,9.0
animated armor,1.0
animated armor detention drone,1.0
animated ballista,2.0
animated breath,6.0
animated broom,0.25
animated chained library,1.0
animated coffin,3.0
animated drow statue,1.0
animated glass statue,1.0
animated halberd,0.25
animated jade serpent,0.25
animated knife,0.125
animated object (huge),
animated object (large),
animated object (medium),
animated object (small),
animated object (tiny),
animated staff,
animated statue of lolth,11.0
animated stove,3.0
animated table,2.0
animated tile chimera,6.0
animated tree,9.0
animated wand,
animatronic allosaurus,2.0
ankheg,2.0
ankylosaurus,3.0
ankylosaurus zombie,3.0
annis hag,6.0
anointed,0.25
anvilwrought raptor,0.5
ape,0.5
aphemia,5.0
apprentice,
apprentice wizard,0.25
aquatic ghoul,1.0
aquatic troll,5.0
arabelle,0.0
aradrine the owl,8.0
arasta,21.0
arcanaloth,12.0
archaic,18.0
archdruid,12.0
archduke zariel of avernus,26.0
archer,3.0
archfiend of ifnir,13.0
archmage,12.0
archon of boundaries,15.0
archon of falling stars,12.0
archon of redemption,10.0
archon of the triumvirate,14.0
arclight phoenix,12.0
arcturia,21.0
aribeth de tylmarande,10.0
arkhan the cruel,16.0
arlo kettletoe (levels 1-4),2.0
arlo kettletoe (levels 5-8),3.0
arlo kettletoe (levels 9-11),6.0
armanite,7.0
armasaur,4.0
armored saber-toothed tiger,3.0
arrant quill,11.0
arrigal,8.0
art elemental mascot,0.25
artus cimber,7.0
aruk thundercaller thuunlakalaga,3.0
ash zombie,0.25
asha vandree,2.0
ashann,2.0
ashari firetamer,7.0
ashari skydancer,5.0
ashari stoneguard,7.0
ashari waverider,5.0
asharra,2.0
ashdra,0.0
ashen animated armor,1.0
ashen flying sword,0.25
ashen heir anarchist,2.0
ashen heir assassin,8.0
ashen heir mage,6.0
ashen heir veteran,3.0
ashen knight,3.0
ashen rider,16.0
ashen shambling mound,5.0
ashen veteran,3.0
ashen warhorse,0.5
ashtyrranthor,17.0
asmodeus,30.0
aspect of bahamut,30.0
aspect of tiamat,30.0
aspirant of the comet,0.5
assassin,8.0
assassin bug,3.0
assassin vine,3.0
asteria,18.0
asteroid spider,15.0
astral blight,1.0
astral dreadnought,21.0
astral elf aristocrat,8.0
astral elf commander,7.0
astral elf honor guard,5.0
astral elf star priest,5.0
astral elf warrior,3.0
atash,21.0
athar null,5.0
atiba-pa,2.0
atropal,13.0
augrek brighthelm,
aunt dellie,0.0
aurak draconian,6.0
aurelia,23.0
auril (first form),9.0
auril (second form),10.0
auril (third form),11.0
aurinax,17.0
aurnozci,22.0
aurochs,2.0
aurumach rilmani,17.0
aurumvorax,2.0
aurumvorax den leader,4.0
auspicia dran,2.0
autognome,2.0
autumn eladrin,10.0
avacyn,21.0
avarice,7.0
avarice seraph,14.0
avatar of baalzebul,18.0
avatar of death,
avi,2.0
avoral guardinal,9.0
awa,0.0
awakened brown bear,1.0
awakened chapped brute,7.0
awakened elk,0.25
awakened giant wasp,0.5
awakened rat,0.0
awakened shrub,0.0
awakened shrub totem elemental,0.0
awakened tree,2.0
awakened white moose,3.0
awakened zurkhwood,2.0
awful fisher,18.0
axe beak,0.25
axe of mirabar soldier,3.0
ayik ur,
ayo jabe (tier 1),3.0
ayo jabe (tier 2),5.0
ayo jabe (tier 3),8.0
ayperobo swarm,12.0
aza dowling,3.0
azaka stormfang,4.0
azbara jos,4.0
azer,2.0
azra nir,0.25
b'rohg,6.0
baalzebul,26.0
baaz draconian,0.5
baba lysaga,11.0
baba lysaga's creeping hut,11.0
babau,4.0
baboon,0.0
badger,0.0
bael,19.0
baernaloth,17.0
bag jelly,1.0
bag of nails,8.0
bak mei,13.0
bakaris the younger,0.125
bakaris uth estide,0.125
bakunawa,12.0
balhannoth,11.0
balor,19.0
baloth,5.0
bandagh,0.5
banderhobb,5.0
bandit,0.125
bandit captain,2.0
banrion,5.0
banshee,4.0
baphomet,23.0
barachiel,13.0
barbatos,6.0
barbed devil,5.0
bard,2.0
barghest,4.0
bariaur wanderer,3.0
barlgura,5.0
barnacle bess,0.125
barnibus blastwind,2.0
baron vargas vallakovich,0.125
barovian commoner,0.0
barovian scout,0.5
barovian witch,0.5
barrowghast,7.0
basilisk,3.0
bastian thermandar,8.0
bat,0.0
battleforce angel,5.0
battlehammer dwarf,0.5
bavlorna blightstraw,7.0
beanstalk wurm,18.0
bearded devil,3.0
beast gnoll,0.125
beast of the land,
beast of the sea,
beast of the sky,
bebilith,12.0
becklin uth viharin,3.0
behir,11.0
beholder,13.0
beholder zombie,5.0
bel,25.0
belak the outcast,2.0
belashyrra,22.0
beldora,
beledros witherbloom,24.0
belephaion,9.0
belial,25.0
bepis honeymaker,0.0
berbalang,2.0
berlain shadowdusk,12.0
berserker,2.0
bestial spirit,
beucephalus,3.0
"bhaal, ravager",24.0
"bhaal, slayer",20.0
bheur hag,7.0
big momma,11.0
big water slurpent,3.0
big xorn,8.0
biomancer,10.0
birdsquirrel,0.25
bitter breath,11.0
bjornhild solvigsdottir,5.0
black abishai,7.0
black bear,0.5
black dragon wyrmling,2.0
black earth guard,2.0
black earth priest,3.0
black gauntlet of bane,6.0
black greatwyrm,27.0
black guard drake,2.0
black king,10.0
black pudding,4.0
black viper,5.0
blackguard,8.0
blagothkus,9.0
blaze,5.0
bleak cabal void soother,3.0
blight totem elemental,0.5
blighted sapling,
blind artist,0.0
blinded troll,4.0
blindheim,2.0
blink dog,0.25
blistercoil weird,4.0
blood drinker vampire,8.0
blood hawk,0.125
blood hunter,5.0
blood witch,7.0
blood-toll harpy,0.125
bloodbonded,4.0
bloodfray giant,6.0
blue abishai,17.0
blue dragon wyrmling,3.0
blue greatwyrm,27.0
blue guard drake,2.0
blue slaad,7.0
blurg,2.0
bluto krogarov,0.0
boar,0.25
bodak,6.0
bodhi irenicus,15.0
bodytaker plant,7.0
boggle,0.125
bol'bara,3.0
bone devil,9.0
bone knight,5.0
bone naga (guardian),4.0
bone naga (spirit),4.0
bone trader,1.0
bone whelk,0.25
boneclaw,12.0
boneless,1.0
bonnie,4.0
boontu monkey,0.0
booyahg booyahg booyahg,6.0
booyahg caster,0.25
booyahg slave of the archfey,4.0
booyahg slave of the fiend,7.0
booyahg slave of the great old one,6.0
booyahg whip,0.25
booyahg wielder,0.25
borborygmos,18.0
bore worm,16.0
borivik windheim,10.0
bosco daggerhand,0.5
boss augustus,9.0
boss delour,9.0
boulderfoot giant,7.0
bozak draconian,2.0
brackish trudge,3.0
braelen hatherhand,0.0
brahma lutier,2.0
brain breaker,12.0
brain in a jar,6.0
brain in iron,6.0
brass dragon wyrmling,1.0
brass greatwyrm,28.0
braxat,9.0
braxow,7.0
bray martikov,2.0
breath drinker,14.0
bridesmaid of zuggtmoy,0.125
brigganock,0.125
bristled moorbounder,3.0
broken king antigonos,3.0
brom martikov,2.0
brontodon,5.0
brontosaurus,5.0
bronze dragon wyrmling,2.0
bronze greatwyrm,28.0
bronze sable,1.0
bronze scout,1.0
bronzefume,13.0
broom of animated attack,0.25
brother adramalech,21.0
brother broumane,0.125
brother morax,21.0
brown bear,1.0
brown scavver,4.0
bruna,16.0
brusipha,3.0
buer,21.0
bugbear,1.0
bugbear chief,3.0
bugbear gardener,1.0
bugbear lieutenant,1.0
bulette,5.0
bulezau,3.0
bullywug,0.25
bullywug croaker,2.0
bullywug knight,3.0
bullywug royal,3.0
buppido,0.25
burney the barber,21.0
burnished hart,2.0
burrowshark,4.0
cackler,0.5
cadaver collector,14.0
cairnwight,9.0
calcryx,2.0
cambion,5.0
camel,0.125
campestri,0.0
candlelight daemon,11.0
canoloth,8.0
canopic golem,13.0
caprathorn,21.0
captain hask,6.0
captain n'ghathrod,8.0
captain othelstan,5.0
captain xendros,2.0
caradoc,8.0
carnivorous flower,5.0
carrion crawler,2.0
carrion ogre,2.0
carrion stalker,3.0
carrionette,1.0
cassiok shadowdusk,12.0
cat,0.0
category 1 krasis,1.0
category 2 krasis,6.0
category 3 krasis,16.0
catoblepas,5.0
caustic crawler,2.0
cave badger,0.25
cave bear,2.0
cave fisher,3.0
cavil zaltobar,6.0
celeste,4.0
celestial spirit,
centaur,2.0
centaur mummy,6.0
centaur skeleton,2.0
ceratops,9.0
cerodon,6.0
chain devil,8.0
chamberlain of zuggtmoy,2.0
champion,9.0
champion of ravens,21.0
changeling,0.5
chaos quadrapod,4.0
chapped brute,4.0
chapped brute abomination,9.0
chardalyn berserker,4.0
chardalyn dragon,11.0
charmayne daymore,10.0
chasme,6.0
chief guh,5.0
chief kartha-kaya,4.0
chief nosnra,8.0
chimera,6.0
chimeric baboon,0.0
chimeric cat,0.0
chimeric fox,0.0
chimeric hare,0.0
chimeric rat,0.0
chimeric weasel,0.0
chishinix,11.0
chishinix' head,3.0
chitine,0.5
choker,1.0
choldrith,3.0
chukka,0.25
chupacabra,3.0
chuul,4.0
chuul spore servant,4.0
chwinga,0.0
chwinga astronaut,0.0
cinder hulk,7.0
cinderhild,2.0
cinderslag elemental,8.0
clapperclaw the scarecrow,0.5
clasp cutthroat,3.0
clasp enforcer,5.0
claugiyliamatar,22.0
clawfoot,1.0
clay gladiator,5.0
clay golem,9.0
cloaker,8.0
cloaker mutate,10.0
clockwork behir,11.0
clockwork bronze scout,1.0
clockwork defender,1.0
clockwork dragon,1.0
clockwork horror,2.0
clockwork iron cobra,4.0
clockwork kraken,10.0
clockwork mule,0.125
clockwork oaken bolter,5.0
clockwork observer,0.0
clockwork stone defender,4.0
clonk,0.25
cloud giant,9.0
cloud giant destiny gambler,19.0
cloud giant ghost,9.0
cloud giant noble,9.0
cloud giant of evil air,12.0
cloud giant smiling one,11.0
clovin belview,0.25
clown,0.125
clystran,0.5
coatl,4.0
cobalt golem,18.0
cockatrice,0.5
cog,5.0
cogwork archivist,4.0
cold snap spirit,5.0
coldlight walker,5.0
colossus of akros,23.0
commodore krux,3.0
commoner,0.0
conclave dryad,9.0
conjurer,6.0
conjurer wizard,6.0
conservatory student,0.125
constrictor snake,0.25
construct (animated armor),1.0
construct (helmed horror),4.0
construct (modron),0.125
construct (shield guardian),7.0
construct spirit,
constructed commoner,0.0
copper dragon wyrmling,1.0
copper greatwyrm,28.0
copper stormforge,0.5
coral,9.0
core spawn crawler,1.0
core spawn emissary,6.0
core spawn seer,13.0
core spawn worm,15.0
cornelius watson,12.0
corpse flower,8.0
corpse walker,6.0
corpsejaw,0.25
corrin delmaco,1.0
corrupted avatar of lurue,8.0
corrupted giant shark,9.0
corruption devil (paeliryon),14.0
cosmic horror,18.0
cosmotronic blastseeker,4.0
couatl,4.0
count thullen,10.0
counterflux blastseeker,2.0
countess sansuri,11.0
cow,0.25
crab,0.0
crab folk,3.0
cradle of the cloud scion,26.0
cradle of the fire scion,25.0
cradle of the frost scion,24.0
cradle of the hill scion,22.0
cradle of the stone scion,23.0
cradle of the storm scion,27.0
crag cat,1.0
cranium rat,0.0
cranium rat squeaker,0.0
cranium rat squeaker swarm,5.0
crawling claw,0.0
creeper,0.5
creepy doll,2.0
cressaro,9.0
criosphinx,13.0
crocodile,0.5
crokek'toeck,14.0
crow,0.0
crushing wave priest,2.0
crushing wave reaver,0.5
cryonax,22.0
cryovain,13.0
crystal battleaxe,0.25
crystal cave merfolk,0.125
crystal dragon wyrmling,2.0
crystal golem,10.0
crystal greatwyrm,26.0
ctenmiir the vampire,13.0
cudgel ironsmile,3.0
cult fanatic,2.0
cultist,0.125
cuprilach rilmani,12.0
curran corvalin,0.0
cyclops,6.0
cyclops stormcaller,10.0
cyrus belview,0.25
dabus,2.0
daemogoth,10.0
daemogoth titan,16.0
dagdra deepforge,2.0
dagryn,4.0
dalamar,6.0
damaged flesh golem,1.0
dancing flame,4.0
dancing item,
dandylion,6.0
danika dorakova,2.0
dankwood duergar,2.0
dankwood grung,1.0
dankwood hag,3.0
dao,11.0
darathra shendrel,3.0
darien,9.0
dark tide knight,3.0
darkling,0.5
darkling elder,2.0
darkmantle,0.5
darkweaver,10.0
darrett highwater,3.0
darz helgar,
davian martikov,2.0
davil starsong,6.0
dawndrinker,5.0
deadstone cleft stone giant,7.0
death dog,1.0
death embrace,11.0
death giant reaper,12.0
death giant shrouded one,15.0
death kiss,10.0
death knight,17.0
death slaad,10.0
death tyrant,14.0
death's head,0.5
death's head of bhaal,5.0
deathless rider,5.0
deathlock,4.0
deathlock mastermind,8.0
deathlock wight,3.0
deathpact angel,14.0
decapus,4.0
decaton modron,8.0
deck defender,
deep crow,9.0
deep dragon wyrmling,1.0
deep gnome (svirfneblin),0.5
deep rothé,0.25
deep scion,3.0
deep spider,7.0
deepking horgar steelshadow v,3.0
deer,0.0
deformed duergar,1.0
deinonychus,1.0
demelin,12.0
demilich,18.0
"demodand, farastu",7.0
"demodand, kelubar",11.0
"demodand, shator",15.0
demogorgon,26.0
demon,12.0
demonfeed spider,8.0
demonfeed spiderling,1.0
demonlord of ashmouth,11.0
demos magen,2.0
dermot wurder (tier 1),3.0
dermot wurder (tier 2),5.0
dermot wurder (tier 3),8.0
derro,0.25
derro savant,3.0
deseyna majarra,0.125
detached shadow,0.5
deva,10.0
devil dog,0.25
devkarin lich,14.0
devorastus,20.0
devourer,13.0
dezmyr shadowdusk,17.0
dhergoloth,7.0
diatryma,0.25
diderius,15.0
dimetrodon,0.25
dining table mimic,3.0
dinosaur skeleton,2.0
dire corby,0.5
dire troll,13.0
dire wolf,1.0
dirt-under-nails,7.0
disciple,
diseased grick,2.0
dispater,27.0
displacer beast,3.0
displacer beast kitten,0.125
displacer fiend,9.0
distended corpse,0.0
diva,0.5
diva luma,8.0
diviner,8.0
diviner wizard,8.0
djeneba,6.0
djinni,11.0
dohwar,0.0
dolgaunt,3.0
dolgrim,0.5
dolphin,0.125
dolphin delighter,3.0
don-jon raskin,0.5
donaar blit'zen,3.0
donavich,0.25
doomcaller,15.0
doomguard doom lord,12.0
doomguard rot blade,6.0
doomwake giant,11.0
doppelganger,3.0
doric,5.0
doru,5.0
doty x,6.0
downcast apostate,11.0
downcast mercenary,5.0
dr. cassee dannell,0.0
dracohydra,11.0
draconian dreadnought,4.0
draconian foot soldier,0.5
draconian infiltrator,3.0
draconian mage,2.0
draconian mastermind,6.0
draconic shard,17.0
draconic spirit,
dracophage subject,3.0
draegloth,7.0
draft horse,0.25
dragon,17.0
dragon army dragonnel,3.0
dragon army officer,3.0
dragon army soldier,1.0
dragon blessed,5.0
dragon chosen,3.0
dragon hunter,3.0
dragon speaker,2.0
dragon tortoise,17.0
dragon turtle,17.0
dragon turtle wyrmling,4.0
dragonbait,5.0
dragonblood ooze,5.0
dragonbone golem,11.0
dragonborn of bahamut,8.0
dragonborn of sardior,6.0
dragonborn of tiamat,7.0
dragonclaw,1.0
dragonfang,5.0
dragonflesh abomination,6.0
dragonflesh grafter,3.0
dragonnel,2.0
dragonpriest,5.0
dragonsoul,7.0
dragonwing,2.0
drake (large),1.0
drake (small),0.25
drake companion,
dralmorrer borngray,3.0
drannin splithelm,7.0
dread doppelganger,5.0
dread warrior,1.0
dream eater,7.0
dretch,0.25
drevin,1.0
drider,6.0
drivvin freth,12.0
droki,2.0
drow,0.25
drow acolyte,0.25
drow arachnomancer,13.0
drow bandit,0.125
drow commander,5.0
drow commoner,0.0
drow cultist,0.125
drow elite warrior,5.0
drow favored consort,18.0
drow guard,0.125
drow gunslinger,4.0
drow house captain,9.0
drow inquisitor,14.0
drow mage,7.0
drow matron mother,20.0
drow noble,0.125
drow priestess of lolth,8.0
drow scout,0.5
drow shadowblade,11.0
drow spore servant,0.125
drow spy,1.0
drowned ascetic,3.0
drowned assassin,4.0
drowned blade,2.0
drowned master,9.0
drufi,8.0
druid,2.0
druid of the old ways,7.0
dryad,1.0
dryad spirit,4.0
drynna hydra,8.0
duchess brimskarda,9.0
duergar,1.0
duergar alchemist,1.0
duergar darkhaft,2.0
duergar despot,12.0
duergar hammerer,2.0
duergar kavalrachni,2.0
duergar keeper of the flame,2.0
duergar mind master,2.0
duergar screamer,3.0
duergar soulblade,1.0
duergar spore servant,0.5
duergar spy,2.0
duergar stone guard,2.0
duergar warlord,6.0
duergar xarrorn,2.0
duke thalamra vanthampur,4.0
duke zalto,9.0
dukha bhatiyali,4.0
dullahan,10.0
dum-dum goblin,0.25
dunbarrow witch,5.0
duodrone,0.25
durnan,9.0
durnn,1.0
durstan rial,3.0
dusk hag,6.0
duskwalker,9.0
dust hulk,5.0
dust mephit,0.5
duvessa shane,
dwarf,0.25
dwarf skeleton,0.5
dwarven worker,0.125
dybbuk,4.0
dyrrn,24.0
dzaan's simulacrum,1.0
eagle,0.0
earth elemental,5.0
earth elemental myrmidon,7.0
earth totem elemental,5.0
east wind,3.0
eater of hope,6.0
eater of knowledge,6.0
eblis,1.0
ebonclaw,2.0
ebondeath,4.0
echo of demogorgon,6.0
edgin darvis,5.0
edwin odesseiron,15.0
efreeti,11.0
egg hunter adult,5.0
egg hunter hatchling,2.0
eidolon,12.0
eigeron's ghost,4.0
eira,2.0
ekene-afa,5.0
ekengarik,16.0
eku,4.0
elaina sartell,2.0
elder black pudding,4.0
elder brain,14.0
elder brain dragon,22.0
elder dinosaur,30.0
"elder dinosaur (etali, primal storm)",30.0
"elder dinosaur (ghalta, primal hunger)",30.0
"elder dinosaur (nezahal, primal tide)",30.0
"elder dinosaur (tetzimoc, primal death)",30.0
"elder dinosaur (zacama, primal calamity)",30.0
"elder dinosaur (zetalpa, primal dawn)",30.0
elder giant lizard,5.0
elder monastery of the distressed body monk,2.0
elder oblex,10.0
elder tempest,23.0
eldeth feldrun,0.5
eldritch herald,5.0
eldritch horror hatchling,2.0
eldritch lich,15.0
eldritch priest,2.0
elemental spirit,
elephant,4.0
elf vampire (ancient),19.0
eliphas adulare,5.0
elise,5.0
elister,2.0
elizar dryflagon,5.0
elk,0.25
elkhorn,2.0
elliach,6.0
elok jaharwon,4.0
elzerina cassalanter,
ember,22.0
ember roc,14.0
emberhorn minotaur,3.0
emberosa,9.0
embric,2.0
emerald dragon wyrmling,2.0
emerald enclave scout,0.5
emerald greatwyrm,26.0
emil toranescu,3.0
emmek frewn,0.0
emo,13.0
empyrean,23.0
empyrean brazen bull,10.0
emrakul,30.0
encephalon cluster,10.0
encephalon gemmule,3.0
enchanter,5.0
enchanter wizard,5.0
enchanting infiltrator,11.0
endelyn moongrave,6.0
ender dragon,19.0
enderman,6.0
engineer,0.25
enhanced medusa,6.0
enna galakiir (levels 1-4),0.125
enna galakiir (levels 5-8),1.0
enna galakiir (levels 9-11),8.0
enormous tentacle,2.0
envy,5.0
eo ashmajiir,11.0
equinal guardinal,6.0
eriflamme,28.0
erinyes,12.0
erky timbers,0.25
escher,5.0
esthetic,12.0
estia,9.0
eternal,3.0
eternal flame guardian,2.0
eternal flame priest,3.0
ettercap,2.0
ettin,4.0
ettin ceremorph,8.0
euryale,18.0
evil mage,1.0
evoker,9.0
evoker wizard,9.0
exethanter,10.0
expeditious messenger,0.125
expert,
exul,11.0
eye crawler,0.0
eye crow,0.0
eye monger,10.0
eye of fear and flame,9.0
eyedrake,8.0
eyestalk of gzemnid,15.0
ezmerelda d'avenir,8.0
ezzat,21.0
f'yorl,0.0
factol skall,17.0
faerie borrower,0.5
faerie dragon (blue),2.0
faerie dragon (green),2.0
faerie dragon (indigo),2.0
faerie dragon (orange),1.0
faerie dragon (red),1.0
faerie dragon (violet),2.0
faerie dragon (yellow),1.0
faerie pathlighter,2.0
faerie pest,1.0
faerl,0.125
faevlin,0.25
fala lefaliir,2.0
falcon,0.0
falcon the hunter,4.0
faldorn,13.0
farastu demodand,11.0
farmer,0.125
faroul,0.5
farrow,1.0
fastieth,0.25
fate hag,4.0
fated shaker,5.0
fathomer,2.0
fazrian,16.0
feathergale knight,1.0
fel ardra,2.0
fel'rekt lafeen,4.0
felbarren dwarf,0.125
felgolos,15.0
felidar,5.0
female steeder,1.0
fennor,3.0
fensir devourer,8.0
fensir skirmisher,6.0
fenthaza,4.0
feonor,12.0
feral ashenwight,5.0
ferocidon,2.0
ferol sal,3.0
ferrumach rilmani,9.0
fewmaster gholcag,2.0
fey spirit,
feyr,5.0
fhenimore,5.0
fidelio,4.0
fiendish auger,5.0
fiendish flesh golem,8.0
fiendish formian,4.0
fiendish giant spider,0.5
fiendish orc,4.0
fiendish spirit,
fierna,25.0
firbolg primeval warden,4.0
firbolg wanderer,5.0
fire elemental,5.0
fire elemental myrmidon,7.0
fire giant,9.0
fire giant dreadnought,14.0
fire giant forgecaller,18.0
fire giant of evil fire,10.0
fire giant royal headsman,9.0
fire giant servant,5.0
fire guardian,5.0
fire hellion,11.0
fire kraken,21.0
fire snake,1.0
firefist,7.0
firegaunt,11.0
firemane angel,12.0
firenewt warlock of imix,1.0
firenewt warrior,0.5
first-year student,0.5
fish,0.0
fist of bane,0.5
five-armed troll,8.0
flabbergast,4.0
flail snail,3.0
flameskull,4.0
flamewrath,6.0
flaming skeleton,0.5
flapjack,0.125
flask of wine,1.0
fleecemane lion,3.0
flesh colossus,20.0
flesh golem,5.0
flesh meld,7.0
flight alabaster angel,10.0
flight goldnight angel,11.0
flight of moonsilver angel,10.0
flimp shagglecran,9.0
flind,9.0
flitterstep eidolon,3.0
floon blagmaar,0.0
flumph,0.125
flux blastseeker,5.0
fluxcharger,7.0
flying dagger,0.125
flying horror,3.0
flying monkey,0.0
flying rocking horse,0.125
flying shield,0.25
flying snake,0.125
flying staff,0.25
flying sword,0.25
flying trident,0.25
fog giant,11.0
foghome,2.0
fomorian,8.0
fomorian deep crawler,10.0
fomorian noble,15.0
fomorian warlock of the dark,12.0
forest master,8.0
foresworn,6.0
forge fitzwilliam,8.0
forge guardian,27.0
forlarren,3.0
four-armed gargoyle,2.0
four-armed statue,10.0
four-armed troll,6.0
fox,0.0
fractal mascot,0.25
fractine,9.0
fragment of krokulmar,0.0
fraternity of order law bender,9.0
fraz-urb'luu,23.0
frilled deathspitter,0.5
frody dartwild,0.25
frog,0.0
froghemoth,10.0
frontline medic,0.25
frost druid,5.0
frost giant,8.0
frost giant everlasting one,12.0
frost giant ice shaper,17.0
frost giant of evil water,11.0
frost giant servant,5.0
frost giant skeleton,6.0
frost giant zombie,9.0
frost salamander,9.0
frost worm,17.0
frostmourn,10.0
frulam mondath,2.0
fume drake,0.25
fungal servant,15.0
fury of kostchtchie,14.0
fzeg,16.0
fzeglaich,7.0
gadabout,0.125
gadof blinsky,0.0
gaj,4.0
galazeth prismari,23.0
galeb duhr,6.0
galeokaerda,6.0
gallows speaker,6.0
galsariad ardyth (tier 1),3.0
galsariad ardyth (tier 2),5.0
galsariad ardyth (tier 3),8.0
galvan,7.0
galvan magen,3.0
galvanic blastseeker,5.0
galvanice weird,1.0
gammon xungoon,0.0
gar shatterkeel,15.0
gargantua,21.0
gargantuan rug of smothering,2.0
gargoyle,2.0
garra,1.0
garret levistusson,2.0
gas spore,0.5
gash,0.5
gauth,6.0
gazer,0.5
gearbox,0.125
gearkeeper construct,10.0
gegazol,24.0
geist,4.0
gelatinous cube,2.0
gem stalker,5.0
geonid,0.25
gertrube,0.5
gertruda,0.0
geryon,22.0
ghald,7.0
ghast,2.0
ghazrim duloc,0.125
ghelryn foehammer,
ghost,4.0
ghost dragon,17.0
ghostblade eidolon,5.0
ghoul,1.0
giant,7.0
giant ape,7.0
giant badger,0.25
giant bat,0.25
giant boar,2.0
giant canary,0.5
giant centipede,0.25
giant child,0.0
giant constrictor snake,2.0
giant coral snake,4.0
giant crab,0.125
giant crayfish,2.0
giant crocodile,5.0
giant dragonfly,0.5
giant eagle,1.0
giant elk,2.0
giant fire beetle,0.0
giant fly,
giant flying spider,1.0
giant four-armed gargoyle,10.0
giant frog,0.25
giant goat,0.5
giant goose,3.0
giant hyena,1.0
giant ice toad,3.0
giant lightning eel,3.0
giant lizard,0.25
giant lynx,0.5
giant mutated drow,9.0
giant octopus,1.0
giant owl,0.25
giant ox,3.0
giant poisonous snake,0.25
giant ram,1.0
giant rat,0.125
giant raven,1.0
giant riding lizard,0.25
giant river serpent,11.0
giant rocktopus,1.0
giant scorpion,3.0
giant sea eel,0.5
giant sea horse,0.5
giant shark,5.0
giant shark skeleton,5.0
giant skeleton,7.0
giant slug,3.0
giant snail,0.25
giant snapping turtle,3.0
